word_index,word,acoustic_start_s,acoustic_end_s,emit_time_s,stable_time_s,revision_span_ms,stabilisation_latency_ms,was_revised,utt
0,AFTER,0.64,1.0,1.06,1.06,0.0,60.0,False,0.wav
1,EARLY,1.0,1.6,1.38,1.38,0.0,-220.0,False,0.wav
2,NIGHTFALL,1.6,2.08,2.02,2.34,320.0,260.0,True,0.wav
3,THE,2.08,2.24,2.34,2.34,0.0,100.0,False,0.wav
4,YELLOW,2.24,2.6,2.66,2.66,0.0,60.0,False,0.wav
5,LAMPS,2.6,3.0,2.98,3.3,320.0,300.0,True,0.wav
6,WOULD,3.0,3.2,3.3,3.3,0.0,100.0,False,0.wav
7,LIGHT,3.2,3.44,3.62,3.62,0.0,180.0,False,0.wav
8,UP,3.44,3.68,3.62,3.62,0.0,-60.0,False,0.wav
9,HERE,3.68,3.96,3.94,3.94,0.0,-20.0,False,0.wav
10,AND,3.96,4.24,4.26,4.26,0.0,20.0,False,0.wav
11,THERE,4.24,4.52,4.58,4.58,0.0,60.0,False,0.wav
12,THE,4.52,4.72,4.9,4.9,0.0,180.0,False,0.wav
13,SQUALID,4.72,5.24,4.9,5.22,320.0,-20.0,True,0.wav
14,QUARTER,5.24,5.64,5.54,5.86,320.0,220.0,True,0.wav
15,OF,5.64,5.76,5.86,5.86,0.0,100.0,False,0.wav
16,THE,5.76,5.92,6.18,6.18,0.0,260.0,False,0.wav
17,BROTHELS,5.92,6.625,6.18,6.5,320.0,-125.0,True,0.wav
0,GOD,0.64,1.04,1.06,1.06,0.0,20.0,False,1.wav
1,AS,1.04,1.28,1.38,1.38,0.0,100.0,False,1.wav
2,A,1.28,1.36,1.7,1.7,0.0,340.0,False,1.wav
3,DIRECT,1.36,1.84,1.7,2.02,320.0,180.0,True,1.wav
4,CONSEQUENCE,1.84,2.48,2.02,2.66,640.0,180.0,True,1.wav
5,OF,2.48,2.6,2.66,2.66,0.0,60.0,False,1.wav
6,THE,2.6,2.76,2.98,2.98,0.0,220.0,False,1.wav
7,SIN,2.76,3.08,2.98,2.98,0.0,-100.0,False,1.wav
8,WHICH,3.08,3.32,3.3,3.3,0.0,-20.0,False,1.wav
9,MAN,3.32,3.6,3.62,3.62,0.0,20.0,False,1.wav
10,THUS,3.6,3.92,3.94,3.94,0.0,20.0,False,1.wav
11,PUNISHED,3.92,4.52,4.26,4.58,320.0,60.0,True,1.wav
12,HAD,4.52,4.8,4.9,4.9,0.0,100.0,False,1.wav
13,GIVEN,4.8,5.16,5.22,5.22,0.0,60.0,False,1.wav
14,HER,5.16,5.32,5.54,5.54,0.0,220.0,False,1.wav
15,A,5.32,5.52,5.54,5.54,0.0,20.0,False,1.wav
16,LOVELY,5.52,6.0,5.86,6.18,320.0,180.0,True,1.wav
17,CHILD,6.0,6.52,6.18,6.18,0.0,-340.0,False,1.wav
18,WHOSE,6.52,7.04,6.82,7.14,320.0,100.0,True,1.wav
19,PLACE,7.04,7.28,7.46,7.46,0.0,180.0,False,1.wav
20,WAS,7.28,7.56,7.46,7.46,0.0,-100.0,False,1.wav
21,ON,7.56,7.8,7.78,7.78,0.0,-20.0,False,1.wav
22,THAT,7.8,8.08,8.1,8.1,0.0,20.0,False,1.wav
23,SAME,8.08,8.36,8.42,8.42,0.0,60.0,False,1.wav
24,DISHONORED,8.36,9.04,8.74,9.06,320.0,20.0,True,1.wav
25,BOSOM,9.04,9.48,9.38,9.7,320.0,220.0,True,1.wav
26,TO,9.48,9.68,9.7,9.7,0.0,20.0,False,1.wav
27,CONNECT,9.68,10.08,10.02,10.34,320.0,260.0,True,1.wav
28,HER,10.08,10.4,10.34,10.34,0.0,-60.0,False,1.wav
29,PARENT,10.4,10.92,10.66,10.98,320.0,60.0,True,1.wav
30,FOR,10.92,11.2,11.3,11.3,0.0,100.0,False,1.wav
31,EVER,11.2,11.44,11.62,11.62,0.0,180.0,False,1.wav
32,WITH,11.44,11.64,11.62,11.62,0.0,-20.0,False,1.wav
33,THE,11.64,11.88,11.94,11.94,0.0,60.0,False,1.wav
34,RACE,11.88,12.2,12.26,12.26,0.0,60.0,False,1.wav
35,AND,12.2,12.4,12.58,12.58,0.0,180.0,False,1.wav
36,DESCENT,12.4,12.88,12.58,12.9,320.0,20.0,True,1.wav
37,OF,12.88,13.04,13.22,13.22,0.0,180.0,False,1.wav
38,MORTALS,13.04,13.84,13.22,13.54,320.0,-300.0,True,1.wav
39,AND,13.84,14.08,14.18,14.18,0.0,100.0,False,1.wav
40,TO,14.08,14.24,14.5,14.5,0.0,260.0,False,1.wav
41,BE,14.24,14.48,14.5,14.5,0.0,20.0,False,1.wav
42,FINALLY,14.48,15.04,14.82,15.14,320.0,100.0,True,1.wav
43,A,15.04,15.2,15.46,15.46,0.0,260.0,False,1.wav
44,BLESSED,15.2,15.72,15.46,15.78,320.0,60.0,True,1.wav
45,SOUL,15.72,16.04,16.1,16.1,0.0,60.0,False,1.wav
46,IN,16.04,16.2,16.42,16.42,0.0,220.0,False,1.wav
47,HEAVEN,16.2,16.715,16.42,16.715,295.0,0.0,True,1.wav
