utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
0,ABA,Arabic,0,40.0,40.0,143,0.475861132144928,0.8701585531234741,0.7494329159377797,0.5206142663955688,0.4658397138118744,0.4631603956222534
0,ABA,Arabic,20,40.0,60.0,143,0.3931587040424347,0.7325224876403809,0.7963302031027596,0.3947233557701111,0.3988514542579651,0.38687989115715027
0,ABA,Arabic,40,40.0,80.0,143,0.3779105246067047,0.8803237676620483,0.8140807606477534,0.40659624338150024,0.36490556597709656,0.3761242628097534
0,ABA,Arabic,80,40.0,120.0,143,0.29984331130981445,0.5944201350212097,0.8595589323559973,0.2478739619255066,0.3070150911808014,0.31890353560447693
0,ABA,Arabic,160,40.0,200.0,143,0.24104592204093933,0.5170379877090454,0.8833146344514933,0.24586066603660583,0.22732575237751007,0.2518855929374695
0,ABA,Arabic,320,40.0,360.0,143,0.20772522687911987,0.3960728943347931,0.9012421676173802,0.2638354003429413,0.17289765179157257,0.21329674124717712
0,ABA,Arabic,640,40.0,680.0,143,0.14234806597232819,0.3182224929332733,0.9351743282297397,0.1802520453929901,0.11317003518342972,0.1515679806470871
1,BWC,Chinese,0,40.0,40.0,251,0.4094269275665283,0.7148227691650391,0.7830046404373818,0.4031490087509155,0.42781582474708557,0.38802435994148254
1,BWC,Chinese,20,40.0,60.0,251,0.3419373631477356,0.7019190788269043,0.8372857347954058,0.34758639335632324,0.3620221018791199,0.3112045228481293
1,BWC,Chinese,40,40.0,80.0,251,0.300564706325531,0.61838299036026,0.8537405647140185,0.3185291290283203,0.3171094059944153,0.26741862297058105
1,BWC,Chinese,80,40.0,120.0,251,0.27212196588516235,0.6583155393600464,0.8685109146301695,0.2695337235927582,0.29623642563819885,0.24073526263237
1,BWC,Chinese,160,40.0,200.0,251,0.19380125403404236,0.4487628936767578,0.9108174997824021,0.22338111698627472,0.19493292272090912,0.17485694587230682
1,BWC,Chinese,320,40.0,360.0,251,0.15373528003692627,0.40122008323669434,0.9296716836169306,0.22908765077590942,0.13635291159152985,0.13313215970993042
1,BWC,Chinese,640,40.0,680.0,251,0.12796643376350403,0.34034264087677,0.9388583320263995,0.21639461815357208,0.10557287186384201,0.10651049017906189
2,BWC,Chinese,0,40.0,40.0,205,0.46324291825294495,0.7452757358551025,0.7766189832376137,0.47978657484054565,0.4692051410675049,0.4487594664096832
2,BWC,Chinese,20,40.0,60.0,205,0.3829009532928467,0.6813607811927795,0.8275252881433302,0.3813368082046509,0.4042223393917084,0.36184483766555786
2,BWC,Chinese,40,40.0,80.0,205,0.36010006070137024,0.6602138876914978,0.8557583437860086,0.35129281878471375,0.3852504789829254,0.3387865126132965
2,BWC,Chinese,80,40.0,120.0,205,0.2978494167327881,0.5738755464553833,0.8844914138326146,0.3141414523124695,0.31227508187294006,0.274821013212204
2,BWC,Chinese,160,40.0,200.0,205,0.22507920861244202,0.5220322012901306,0.9115655848253111,0.27122658491134644,0.20037628710269928,0.2270335853099823
2,BWC,Chinese,320,40.0,360.0,205,0.18394726514816284,0.4305821657180786,0.9265238006430919,0.23647885024547577,0.1584593951702118,0.18347440659999847
2,BWC,Chinese,640,40.0,680.0,205,0.14854659140110016,0.3610362410545349,0.9406913021488797,0.19776517152786255,0.1163179874420166,0.1566578596830368
3,MBMPS,Spanish,0,40.0,40.0,262,0.47980308532714844,0.8370963931083679,0.7327516159337089,0.46819257736206055,0.48957934975624084,0.47335338592529297
3,MBMPS,Spanish,20,40.0,60.0,262,0.3975321650505066,0.8128069043159485,0.7913069760180496,0.3990808427333832,0.40016818046569824,0.392974853515625
3,MBMPS,Spanish,40,40.0,80.0,262,0.3360350430011749,0.7252039909362793,0.8417110011096968,0.3359191417694092,0.34407973289489746,0.3250434100627899
3,MBMPS,Spanish,80,40.0,120.0,262,0.2688148319721222,0.6725637316703796,0.8734448700416484,0.253488689661026,0.2698651850223541,0.27660128474235535
3,MBMPS,Spanish,160,40.0,200.0,262,0.19525019824504852,0.46052104234695435,0.9124934110605162,0.22443851828575134,0.18078206479549408,0.19756455719470978
3,MBMPS,Spanish,320,40.0,360.0,262,0.13127097487449646,0.2921154499053955,0.9470157260326669,0.18323108553886414,0.10385891050100327,0.13766838610172272
3,MBMPS,Spanish,640,40.0,680.0,262,0.0986892580986023,0.20531831681728363,0.9585499321802643,0.15599310398101807,0.07702420651912689,0.09396617859601974
4,SVBI,Hindi,0,40.0,40.0,181,0.4609995186328888,0.8483361601829529,0.788774016458057,0.4629136323928833,0.44724398851394653,0.47686925530433655
