utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
0,syn0,SYNTHETIC,0,40.0,40.0,124,0.2788468599319458,0.5746504068374634,0.8606209645868794,0.25296729803085327,0.2723991870880127,0.30622315406799316
0,syn0,SYNTHETIC,20,40.0,60.0,124,0.2223740667104721,0.47622331976890564,0.8961398750474174,0.22283296287059784,0.21825066208839417,0.22869135439395905
0,syn0,SYNTHETIC,40,40.0,80.0,124,0.18875667452812195,0.40674903988838196,0.9079942216195744,0.17754781246185303,0.18881002068519592,0.19604529440402985
0,syn0,SYNTHETIC,80,40.0,120.0,124,0.19962793588638306,0.4396040141582489,0.8971088328390967,0.18604080379009247,0.19384010136127472,0.21785776317119598
0,syn0,SYNTHETIC,160,40.0,200.0,124,0.1950436383485794,0.4572639465332031,0.9288203212490447,0.2134791910648346,0.18551908433437347,0.19820448756217957
0,syn0,SYNTHETIC,320,40.0,360.0,124,0.08101226389408112,0.16062022745609283,0.9721474642717352,0.08794315159320831,0.07740437984466553,0.08224409818649292
0,syn0,SYNTHETIC,640,40.0,680.0,124,0.04742948338389397,0.11179104447364807,0.9859498306835731,0.03790970891714096,0.04922277480363846,0.050813764333724976
1,syn1,SYNTHETIC,0,40.0,40.0,124,0.26575741171836853,0.582065224647522,0.8531184285672034,0.21966934204101562,0.2750281095504761,0.28136324882507324
1,syn1,SYNTHETIC,20,40.0,60.0,124,0.2210155874490738,0.5099747180938721,0.8980394603681748,0.19365684688091278,0.23125189542770386,0.22234852612018585
1,syn1,SYNTHETIC,40,40.0,80.0,124,0.19278551638126373,0.4421856105327606,0.9059930783053808,0.18856485188007355,0.19614547491073608,0.1900070756673813
1,syn1,SYNTHETIC,80,40.0,120.0,124,0.18426789343357086,0.40194764733314514,0.907186505785098,0.16679097712039948,0.19030247628688812,0.18596461415290833
1,syn1,SYNTHETIC,160,40.0,200.0,124,0.18650196492671967,0.4464914798736572,0.935789176016,0.17031866312026978,0.19584885239601135,0.18177424371242523
1,syn1,SYNTHETIC,320,40.0,360.0,124,0.07870923727750778,0.17227451503276825,0.9731250484753721,0.07556040585041046,0.08282215148210526,0.07394494861364365
1,syn1,SYNTHETIC,640,40.0,680.0,124,0.05042605847120285,0.15106582641601562,0.9841043328334407,0.034921158105134964,0.05765480548143387,0.04878934100270271
2,syn2,SYNTHETIC,0,40.0,40.0,124,0.28451400995254517,0.5721364617347717,0.8546357314039564,0.26959890127182007,0.27925682067871094,0.30276575684547424
2,syn2,SYNTHETIC,20,40.0,60.0,124,0.2320052683353424,0.5161973237991333,0.8848492012957319,0.2595801055431366,0.22261257469654083,0.22894176840782166
2,syn2,SYNTHETIC,40,40.0,80.0,124,0.18500696122646332,0.41717666387557983,0.9156687857063888,0.17562946677207947,0.18310610949993134,0.19422778487205505
2,syn2,SYNTHETIC,80,40.0,120.0,124,0.1750299036502838,0.3781096935272217,0.9160613187286863,0.17520831525325775,0.1610187143087387,0.19740420579910278
2,syn2,SYNTHETIC,160,40.0,200.0,124,0.17155037820339203,0.4184812605381012,0.933344605006127,0.19463060796260834,0.157912477850914,0.17825853824615479
2,syn2,SYNTHETIC,320,40.0,360.0,124,0.08227814733982086,0.22653187811374664,0.9695407664306483,0.0764942616224289,0.08040693402290344,0.08908715099096298
2,syn2,SYNTHETIC,640,40.0,680.0,124,0.0474800169467926,0.10928315669298172,0.9866568648204703,0.03723109886050224,0.04613048583269119,0.056389082223176956
3,syn3,SYNTHETIC,0,40.0,40.0,124,0.2455412894487381,0.5026195049285889,0.8606385846913431,0.21561549603939056,0.24089273810386658,0.27269142866134644
3,syn3,SYNTHETIC,20,40.0,60.0,124,0.23050262033939362,0.5179969668388367,0.8856811460878995,0.2248820662498474,0.22596439719200134,0.24148540198802948
3,syn3,SYNTHETIC,40,40.0,80.0,124,0.1985142081975937,0.45769190788269043,0.8991997963443787,0.2213059961795807,0.18911485373973846,0.19860805571079254
3,syn3,SYNTHETIC,80,40.0,120.0,124,0.1966952681541443,0.381202757358551,0.9062929670267191,0.19249440729618073,0.1885104775428772,0.21259765326976776
3,syn3,SYNTHETIC,160,40.0,200.0,124,0.18956856429576874,0.45218366384506226,0.9213493345940904,0.19171744585037231,0.18206831812858582,0.20019471645355225
3,syn3,SYNTHETIC,320,40.0,360.0,124,0.08887451142072678,0.2780838906764984,0.9654733274509429,0.0901779755949974,0.09086375683546066,0.08482369035482407
3,syn3,SYNTHETIC,640,40.0,680.0,124,0.05414345860481262,0.1190938726067543,0.9798897624874537,0.04534230753779411,0.05672447383403778,0.055790480226278305
4,syn4,SYNTHETIC,0,40.0,40.0,124,0.2457985281944275,0.4872860312461853,0.8842884139802207,0.2229217141866684,0.23189297318458557,0.2845570147037506
4,syn4,SYNTHETIC,20,40.0,60.0,124,0.2538977563381195,0.5358357429504395,0.8885100208495283,0.29399996995925903,0.23931069672107697,0.2512448728084564
4,syn4,SYNTHETIC,40,40.0,80.0,124,0.18862129747867584,0.4894627034664154,0.917726576836061,0.17528773844242096,0.19206640124320984,0.19185759127140045
4,syn4,SYNTHETIC,80,40.0,120.0,124,0.1723114252090454,0.4182509779930115,0.9298782036470338,0.14737869799137115,0.1799992173910141,0.17627564072608948
4,syn4,SYNTHETIC,160,40.0,200.0,124,0.17937646806240082,0.4504644274711609,0.9424881209283418,0.17319823801517487,0.18384632468223572,0.17606094479560852
4,syn4,SYNTHETIC,320,40.0,360.0,124,0.09172242134809494,0.24921557307243347,0.9700798287260092,0.08140102028846741,0.0963798388838768,0.090891994535923
4,syn4,SYNTHETIC,640,40.0,680.0,124,0.052177708595991135,0.10787898302078247,0.9901603781583198,0.04147318750619888,0.05828418955206871,0.04917800799012184
5,syn5,SYNTHETIC,0,40.0,40.0,124,0.24988073110580444,0.46094757318496704,0.8965331684574589,0.22815759479999542,0.24206435680389404,0.2776561975479126
5,syn5,SYNTHETIC,20,40.0,60.0,124,0.25395601987838745,0.5527196526527405,0.8914101654874111,0.3206333518028259,0.22729645669460297,0.2535766363143921
5,syn5,SYNTHETIC,40,40.0,80.0,124,0.21574696898460388,0.5410979390144348,0.9021107877081193,0.2664456069469452,0.19331742823123932,0.2190757691860199
5,syn5,SYNTHETIC,80,40.0,120.0,124,0.19940324127674103,0.44964829087257385,0.903198370732567,0.20948253571987152,0.18585006892681122,0.21530361473560333
5,syn5,SYNTHETIC,160,40.0,200.0,124,0.1763307899236679,0.38828790187835693,0.9378096183822551,0.15307892858982086,0.17710189521312714,0.19074955582618713
5,syn5,SYNTHETIC,320,40.0,360.0,124,0.07710973173379898,0.22025461494922638,0.9782377378347344,0.061194971203804016,0.08031018078327179,0.08250001072883606
5,syn5,SYNTHETIC,640,40.0,680.0,124,0.05627720057964325,0.10412590950727463,0.9841093574135187,0.038034018129110336,0.060420211404561996,0.061661332845687866
6,syn6,SYNTHETIC,0,40.0,40.0,124,0.2778681218624115,0.5141257643699646,0.8784967080499222,0.2512861490249634,0.2835838794708252,0.28625115752220154
6,syn6,SYNTHETIC,20,40.0,60.0,124,0.24624018371105194,0.44607463479042053,0.8838324789534727,0.2791369557380676,0.23537655174732208,0.24221660196781158
6,syn6,SYNTHETIC,40,40.0,80.0,124,0.20877012610435486,0.43840184807777405,0.9071474396578472,0.22641853988170624,0.2012755423784256,0.209403857588768
6,syn6,SYNTHETIC,80,40.0,120.0,124,0.23279301822185516,0.5721233487129211,0.8890100348025578,0.2779102325439453,0.21201913058757782,0.2371186912059784
6,syn6,SYNTHETIC,160,40.0,200.0,124,0.22549988329410553,0.48852255940437317,0.9161331849636171,0.25530192255973816,0.21582794189453125,0.22157032787799835
6,syn6,SYNTHETIC,320,40.0,360.0,124,0.1260291486978531,0.2946808636188507,0.9536931307367731,0.1599234789609909,0.11786231398582458,0.11681254208087921
6,syn6,SYNTHETIC,640,40.0,680.0,124,0.06483753025531769,0.16021493077278137,0.976497224878493,0.05469914525747299,0.07022741436958313,0.06265610456466675
7,syn7,SYNTHETIC,0,40.0,40.0,124,0.27593445777893066,0.5985850095748901,0.8556746754763185,0.229076087474823,0.2695682942867279,0.31698185205459595
7,syn7,SYNTHETIC,20,40.0,60.0,124,0.22914491593837738,0.4751647710800171,0.8863419585534,0.23753635585308075,0.21860463917255402,0.24054419994354248
7,syn7,SYNTHETIC,40,40.0,80.0,124,0.18100948631763458,0.42735907435417175,0.90081435771957,0.16641540825366974,0.1774182766675949,0.1963758021593094
7,syn7,SYNTHETIC,80,40.0,120.0,124,0.20812293887138367,0.5215966105461121,0.8951167600266418,0.21478836238384247,0.1972856968641281,0.22113437950611115
7,syn7,SYNTHETIC,160,40.0,200.0,124,0.19390247762203217,0.44895461201667786,0.9267531604041116,0.202424094080925,0.17981897294521332,0.21090379357337952
7,syn7,SYNTHETIC,320,40.0,360.0,124,0.11935574561357498,0.2796918749809265,0.9583892196270799,0.12177541851997375,0.11305287480354309,0.12788160145282745
7,syn7,SYNTHETIC,640,40.0,680.0,124,0.08081501722335815,0.18572261929512024,0.9756242121438525,0.06544589251279831,0.07636416703462601,0.0980711355805397
8,syn8,SYNTHETIC,0,40.0,40.0,124,0.28140753507614136,0.5108838677406311,0.8658066407237982,0.2556396722793579,0.29229438304901123,0.28117650747299194
8,syn8,SYNTHETIC,20,40.0,60.0,124,0.2524625360965729,0.5206148028373718,0.8828991094219933,0.30155959725379944,0.24324466288089752,0.2351713925600052
8,syn8,SYNTHETIC,40,40.0,80.0,124,0.2109404057264328,0.45535025000572205,0.8861794735365247,0.24813422560691833,0.20844894647598267,0.1909313052892685
8,syn8,SYNTHETIC,80,40.0,120.0,124,0.23673604428768158,0.6598419547080994,0.8781423078417544,0.3040194511413574,0.22082196176052094,0.21808886528015137
8,syn8,SYNTHETIC,160,40.0,200.0,124,0.20512792468070984,0.42998820543289185,0.9132389595353928,0.23709432780742645,0.2005832940340042,0.19162842631340027
8,syn8,SYNTHETIC,320,40.0,360.0,124,0.09755773842334747,0.2612726092338562,0.9688334909918246,0.09127163887023926,0.10611104965209961,0.0884283110499382
8,syn8,SYNTHETIC,640,40.0,680.0,124,0.08357325941324234,0.11033748090267181,0.9659821823848914,0.1407623589038849,0.06933330744504929,0.06882113963365555
9,syn9,SYNTHETIC,0,40.0,40.0,124,0.27446556091308594,0.5725504755973816,0.8642026371443912,0.24108000099658966,0.26450642943382263,0.31002122163772583
9,syn9,SYNTHETIC,20,40.0,60.0,124,0.19547325372695923,0.49652814865112305,0.8992478530926235,0.18950073421001434,0.19680854678153992,0.1972365826368332
9,syn9,SYNTHETIC,40,40.0,80.0,124,0.1576751470565796,0.44523656368255615,0.9189544725176834,0.14438492059707642,0.1673518717288971,0.15170834958553314
9,syn9,SYNTHETIC,80,40.0,120.0,124,0.1669134497642517,0.48871201276779175,0.9209981257041702,0.15809540450572968,0.1830400824546814,0.14863790571689606
9,syn9,SYNTHETIC,160,40.0,200.0,124,0.1811520755290985,0.46079763770103455,0.9338603906825786,0.1397085338830948,0.2045760601758957,0.1725039780139923
9,syn9,SYNTHETIC,320,40.0,360.0,124,0.08331131190061569,0.21077924966812134,0.984595381432199,0.07314977049827576,0.08936306089162827,0.08073590695858002
9,syn9,SYNTHETIC,640,40.0,680.0,124,0.04560495913028717,0.07952771335840225,0.9909164382792324,0.05370303615927696,0.04139618203043938,0.046751607209444046
10,syn10,SYNTHETIC,0,40.0,40.0,124,0.24204331636428833,0.561682939529419,0.8560617421339071,0.2271110713481903,0.22737625241279602,0.27541160583496094
10,syn10,SYNTHETIC,20,40.0,60.0,124,0.20272216200828552,0.5201312899589539,0.8954120053838946,0.18774719536304474,0.20045781135559082,0.2162090539932251
10,syn10,SYNTHETIC,40,40.0,80.0,124,0.200199156999588,0.5389161705970764,0.8995300905853479,0.23153020441532135,0.19184768199920654,0.19299298524856567
10,syn10,SYNTHETIC,80,40.0,120.0,124,0.18458406627178192,0.5442667603492737,0.9049341135817547,0.19037489593029022,0.17464549839496613,0.19672830402851105
10,syn10,SYNTHETIC,160,40.0,200.0,124,0.17960689961910248,0.43202364444732666,0.9136815502305451,0.19440814852714539,0.17031386494636536,0.18478699028491974
10,syn10,SYNTHETIC,320,40.0,360.0,124,0.08001329749822617,0.2146877497434616,0.9768498224403207,0.06413979083299637,0.07832283526659012,0.09317003935575485
10,syn10,SYNTHETIC,640,40.0,680.0,124,0.0422428697347641,0.09165177494287491,0.9863635304413076,0.04720345884561539,0.03552787005901337,0.04975864291191101
11,syn11,SYNTHETIC,0,40.0,40.0,124,0.2430620640516281,0.4993254840373993,0.8518550806749418,0.2549322843551636,0.2486993819475174,0.2262032926082611
11,syn11,SYNTHETIC,20,40.0,60.0,124,0.23431678116321564,0.5170460939407349,0.8593761474671082,0.29892855882644653,0.23073087632656097,0.19756536185741425
11,syn11,SYNTHETIC,40,40.0,80.0,124,0.169829860329628,0.38286077976226807,0.9061617023022436,0.18283863365650177,0.17722447216510773,0.1494012176990509
11,syn11,SYNTHETIC,80,40.0,120.0,124,0.2069040834903717,0.6315014958381653,0.877535294476246,0.28873252868652344,0.19510334730148315,0.1720128357410431
11,syn11,SYNTHETIC,160,40.0,200.0,124,0.17043755948543549,0.4064568877220154,0.8979867787917241,0.22268103063106537,0.17220979928970337,0.13322195410728455
11,syn11,SYNTHETIC,320,40.0,360.0,124,0.07697972655296326,0.2291158139705658,0.9698086542471531,0.10711216181516647,0.07374729216098785,0.06234467029571533
11,syn11,SYNTHETIC,640,40.0,680.0,124,0.04098663479089737,0.07454810291528702,0.9812690318062952,0.07423258572816849,0.033671505749225616,0.030857013538479805
