label,chunk_ms,lookahead_ms,t_algorithmic_ms,t_compute_p50_ms,t_compute_p95_ms,t_buffer_ms,t_e2e_p50_ms,t_e2e_p95_ms,rtf_p50,rtf_p95,feasible,preset,lookback_frames,T_query,T_kv,gflop_per_chunk,achieved_gflops,t_algorithmic_honest_ms,compute_stdev_ms,n_reps
base/L0/C20,20,0,20,35.16,39.28,0.0,55.16,59.28,1.758,1.9639,False,base,100,1,101,3.0053,85.5,25.0,1.998,23
base/L20/C20,20,20,40,34.98,40.75,0.0,74.98,80.75,1.7491,2.0374,False,base,100,1,102,3.0337,86.7,45.0,2.516,23
base/L40/C20,20,40,60,34.97,59.67,0.0,94.97,119.67,1.7485,2.9833,False,base,100,1,103,3.062,87.6,65.0,7.666,23
base/L80/C20,20,80,100,35.11,41.71,0.0,135.11,141.71,1.7555,2.0857,False,base,100,1,105,3.1187,88.8,105.0,2.814,23
base/L160/C20,20,160,180,34.86,35.77,0.0,214.86,215.77,1.7428,1.7886,False,base,100,1,109,3.2321,92.7,185.0,0.455,23
base/L320/C20,20,320,340,36.32,37.54,0.0,376.32,377.54,1.816,1.8769,False,base,100,1,117,3.4589,95.2,345.0,0.517,23
base/L640/C20,20,640,660,37.17,37.62,0.0,697.17,697.62,1.8585,1.8808,False,base,100,1,133,3.9125,105.3,665.0,7.125,23
base/L0/C40,40,0,40,34.94,45.72,0.0,74.94,85.72,0.8734,1.1431,False,base,100,2,102,3.1796,91.0,45.0,3.67,23
base/L20/C40,40,20,60,35.14,36.47,0.0,95.14,96.47,0.8785,0.9118,False,base,100,2,103,3.2079,91.3,65.0,0.436,23
base/L40/C40,40,40,80,35.2,35.96,0.0,115.2,115.96,0.8801,0.899,False,base,100,2,104,3.2363,91.9,85.0,0.324,23
base/L80/C40,40,80,120,35.32,36.34,0.0,155.32,156.34,0.8831,0.9084,False,base,100,2,106,3.2931,93.2,125.0,0.58,23
base/L160/C40,40,160,200,35.86,41.53,0.0,235.86,241.53,0.8966,1.0383,False,base,100,2,110,3.4066,95.0,205.0,2.655,23
base/L320/C40,40,320,360,37.1,38.17,0.0,397.1,398.17,0.9276,0.9543,False,base,100,2,118,3.6337,97.9,365.0,0.41,23
base/L640/C40,40,640,680,37.6,43.06,0.0,717.6,723.06,0.9399,1.0765,False,base,100,2,134,4.0879,108.7,685.0,3.406,23
base/L0/C80,80,0,80,40.42,41.05,0.0,120.42,121.05,0.5053,0.5132,True,base,100,4,104,3.5283,87.3,85.0,0.668,23
base/L20/C80,80,20,100,40.34,41.67,0.0,140.34,141.67,0.5042,0.5209,True,base,100,4,105,3.5567,88.2,105.0,7.435,23
base/L40/C80,80,40,120,40.4,40.94,0.0,160.4,160.94,0.505,0.5117,True,base,100,4,106,3.5852,88.7,125.0,0.347,23
base/L80/C80,80,80,160,40.37,40.83,0.0,200.37,200.83,0.5047,0.5104,True,base,100,4,108,3.6421,90.2,165.0,0.231,23
base/L160/C80,80,160,240,40.4,41.13,0.0,280.4,281.13,0.505,0.5141,True,base,100,4,112,3.7559,93.0,245.0,0.439,23
base/L320/C80,80,320,400,42.48,43.05,0.0,442.48,443.05,0.531,0.5382,True,base,100,4,120,3.9836,93.8,405.0,0.314,23
base/L640/C80,80,640,720,43.14,48.4,0.0,763.14,768.4,0.5393,0.605,True,base,100,4,136,4.4389,102.9,725.0,2.017,23
small/L0/C20,20,0,20,3.94,4.13,0.0,23.94,24.13,0.1971,0.2064,True,small,100,1,101,0.3762,95.4,25.0,0.101,23
small/L20/C20,20,20,40,4.04,4.18,0.0,44.04,44.18,0.2018,0.209,True,small,100,1,102,0.3797,94.1,45.0,0.213,23
small/L40/C20,20,40,60,4.05,4.21,0.0,64.05,64.21,0.2024,0.2106,True,small,100,1,103,0.3833,94.7,65.0,0.176,23
small/L80/C20,20,80,100,4.14,8.05,0.0,104.14,108.05,0.207,0.4025,True,small,100,1,105,0.3904,94.3,105.0,1.405,23
small/L160/C20,20,160,180,4.28,5.54,0.0,184.28,185.54,0.2142,0.2772,True,small,100,1,109,0.4046,94.4,185.0,0.498,23
small/L320/C20,20,320,340,4.31,4.43,0.0,344.31,344.43,0.2157,0.2213,True,small,100,1,117,0.433,100.4,345.0,0.103,23
small/L640/C20,20,640,660,4.41,4.55,0.0,664.41,664.55,0.2207,0.2275,True,small,100,1,133,0.4897,111.0,665.0,0.119,23
small/L0/C40,40,0,40,4.31,4.46,0.0,44.31,44.46,0.1078,0.1115,True,small,100,2,102,0.3985,92.4,45.0,0.102,23
small/L20/C40,40,20,60,4.46,4.76,0.0,64.46,64.76,0.1116,0.1191,True,small,100,2,103,0.4021,90.1,65.0,0.185,23
small/L40/C40,40,40,80,4.36,4.52,0.0,84.36,84.52,0.1089,0.113,True,small,100,2,104,0.4056,93.1,85.0,0.095,23
small/L80/C40,40,80,120,4.36,4.52,0.0,124.36,124.52,0.1091,0.1129,True,small,100,2,106,0.4128,94.6,125.0,0.092,23
small/L160/C40,40,160,200,4.38,4.56,0.0,204.38,204.56,0.1096,0.114,True,small,100,2,110,0.427,97.4,205.0,0.118,23
small/L320/C40,40,320,360,4.62,4.76,0.0,364.62,364.76,0.1154,0.1189,True,small,100,2,118,0.4554,98.6,365.0,0.116,23
small/L640/C40,40,640,680,4.75,4.92,0.0,684.75,684.92,0.1188,0.1231,True,small,100,2,134,0.5124,107.8,685.0,0.121,23
small/L0/C80,80,0,80,4.83,5.1,0.0,84.83,85.1,0.0604,0.0637,True,small,100,4,104,0.4432,91.7,85.0,0.124,23
small/L20/C80,80,20,100,4.83,5.37,0.0,104.83,105.37,0.0603,0.0671,True,small,100,4,105,0.4468,92.6,105.0,1.086,23
small/L40/C80,80,40,120,4.85,6.26,0.0,124.85,126.26,0.0606,0.0783,True,small,100,4,106,0.4504,92.9,125.0,0.551,23
small/L80/C80,80,80,160,4.83,5.14,0.0,164.83,165.14,0.0604,0.0642,True,small,100,4,108,0.4575,94.6,165.0,0.169,23
small/L160/C80,80,160,240,4.88,9.74,0.0,244.88,249.74,0.061,0.1217,True,small,100,4,112,0.4718,96.7,245.0,1.813,23
small/L320/C80,80,320,400,5.17,5.33,0.0,405.17,405.32,0.0646,0.0666,True,small,100,4,120,0.5004,96.8,405.0,0.127,23
small/L640/C80,80,640,720,5.23,5.34,0.0,725.23,725.34,0.0654,0.0667,True,small,100,4,136,0.5577,106.6,725.0,0.128,23
tiny/L0/C20,20,0,20,1.31,1.51,0.0,21.31,21.51,0.0657,0.0753,True,tiny,100,1,101,0.1116,84.9,25.0,0.059,23
tiny/L20/C20,20,20,40,1.33,1.46,0.0,41.33,41.46,0.0666,0.0728,True,tiny,100,1,102,0.1127,84.6,45.0,0.049,23
tiny/L40/C20,20,40,60,1.34,1.49,0.0,61.34,61.49,0.0668,0.0743,True,tiny,100,1,103,0.1137,85.2,65.0,0.057,23
tiny/L80/C20,20,80,100,1.35,1.53,0.0,101.35,101.53,0.0677,0.0764,True,tiny,100,1,105,0.1158,85.5,105.0,0.062,23
tiny/L160/C20,20,160,180,1.36,1.43,0.0,181.36,181.43,0.0678,0.0716,True,tiny,100,1,109,0.12,88.6,185.0,0.041,23
tiny/L320/C20,20,320,340,1.4,1.56,0.0,341.4,341.56,0.0702,0.078,True,tiny,100,1,117,0.1285,91.6,345.0,0.07,23
tiny/L640/C20,20,640,660,1.47,1.6,0.0,661.47,661.6,0.0733,0.0798,True,tiny,100,1,133,0.1453,99.1,665.0,0.047,23
tiny/L0/C40,40,0,40,1.7,1.85,0.0,41.7,41.85,0.0426,0.0462,True,tiny,100,2,102,0.1184,69.5,45.0,0.057,23
tiny/L20/C40,40,20,60,1.72,2.0,0.0,61.72,62.0,0.043,0.05,True,tiny,100,2,103,0.1195,69.4,65.0,0.122,23
tiny/L40/C40,40,40,80,1.73,1.91,0.0,81.73,81.91,0.0432,0.0478,True,tiny,100,2,104,0.1205,69.8,85.0,0.069,23
