label,chunk_ms,lookahead_ms,t_algorithmic_ms,t_compute_p50_ms,t_compute_p95_ms,t_buffer_ms,t_e2e_p50_ms,t_e2e_p95_ms,rtf_p50,rtf_p95,feasible,preset,lookback_frames,T_query,T_kv,gflop_per_chunk,achieved_gflops,t_algorithmic_honest_ms,compute_stdev_ms,n_reps
base/L0/C20,20,0,20,31.93,41.57,0.0,51.93,61.57,1.5965,2.0786,False,base,100,1,101,3.0053,94.1,25.0,4.842,28
base/L20/C20,20,20,40,31.4,34.57,0.0,71.4,74.57,1.5699,1.7286,False,base,100,1,102,3.0337,96.6,45.0,1.971,28
base/L40/C20,20,40,60,31.15,32.29,0.0,91.15,92.29,1.5577,1.6144,False,base,100,1,103,3.062,98.3,65.0,0.843,28
base/L80/C20,20,80,100,29.84,31.85,0.0,129.84,131.85,1.4919,1.5927,False,base,100,1,105,3.1187,104.5,105.0,0.993,28
base/L160/C20,20,160,180,30.48,31.37,0.0,210.48,211.37,1.5239,1.5687,False,base,100,1,109,3.2321,106.1,185.0,0.669,28
base/L320/C20,20,320,340,30.02,30.38,0.0,370.02,370.38,1.501,1.5192,False,base,100,1,117,3.4589,115.2,345.0,0.573,28
base/L640/C20,20,640,660,31.49,36.07,0.0,691.49,696.07,1.5743,1.8033,False,base,100,1,133,3.9125,124.3,665.0,1.937,28
base/L0/C40,40,0,40,43.23,44.68,0.0,83.23,84.68,1.0808,1.117,False,base,100,2,102,3.1796,73.5,45.0,0.782,28
base/L20/C40,40,20,60,43.9,46.25,0.0,103.9,106.25,1.0975,1.1562,False,base,100,2,103,3.2079,73.1,65.0,1.546,28
base/L40/C40,40,40,80,43.87,50.86,0.0,123.87,130.86,1.0968,1.2714,False,base,100,2,104,3.2363,73.8,85.0,2.598,28
base/L80/C40,40,80,120,43.11,50.19,0.0,163.11,170.19,1.0778,1.2548,False,base,100,2,106,3.2931,76.4,125.0,2.733,28
base/L160/C40,40,160,200,44.06,46.06,0.0,244.06,246.06,1.1016,1.1514,False,base,100,2,110,3.4066,77.3,205.0,1.019,28
base/L320/C40,40,320,360,43.81,45.32,0.0,403.81,405.32,1.0954,1.1331,False,base,100,2,118,3.6337,82.9,365.0,0.818,28
base/L640/C40,40,640,680,43.82,45.17,0.0,723.82,725.17,1.0954,1.1292,False,base,100,2,134,4.0879,93.3,685.0,0.752,28
base/L0/C80,80,0,80,44.22,45.93,0.0,124.22,125.93,0.5528,0.5741,True,base,100,4,104,3.5283,79.8,85.0,0.73,28
base/L20/C80,80,20,100,44.43,46.13,0.0,144.43,146.13,0.5554,0.5766,True,base,100,4,105,3.5567,80.0,105.0,1.174,28
base/L40/C80,80,40,120,45.3,55.9,0.0,165.3,175.9,0.5662,0.6987,True,base,100,4,106,3.5852,79.1,125.0,3.929,28
base/L80/C80,80,80,160,44.67,47.99,0.0,204.67,207.99,0.5584,0.5999,True,base,100,4,108,3.6421,81.5,165.0,2.375,28
base/L160/C80,80,160,240,45.76,63.32,0.0,285.76,303.32,0.572,0.7915,True,base,100,4,112,3.7559,82.1,245.0,8.809,28
base/L320/C80,80,320,400,45.27,57.7,0.0,445.27,457.7,0.5659,0.7212,True,base,100,4,120,3.9836,88.0,405.0,4.122,28
base/L640/C80,80,640,720,44.2,44.99,0.0,764.2,764.99,0.5525,0.5623,True,base,100,4,136,4.4389,100.4,725.0,0.485,28
small/L0/C20,20,0,20,2.4,2.84,0.0,22.4,22.84,0.1198,0.1418,True,small,100,1,101,0.3762,157.0,25.0,0.231,28
small/L20/C20,20,20,40,2.38,3.18,0.0,42.38,43.18,0.1192,0.159,True,small,100,1,102,0.3797,159.3,45.0,0.279,28
small/L40/C20,20,40,60,2.44,3.09,0.0,62.44,63.09,0.1218,0.1543,True,small,100,1,103,0.3833,157.3,65.0,0.267,28
small/L80/C20,20,80,100,2.45,2.95,0.0,102.45,102.95,0.1227,0.1473,True,small,100,1,105,0.3904,159.1,105.0,0.258,28
small/L160/C20,20,160,180,2.34,3.14,0.0,182.34,183.14,0.1168,0.1571,True,small,100,1,109,0.4046,173.2,185.0,0.298,28
small/L320/C20,20,320,340,2.48,2.78,0.0,342.48,342.78,0.1239,0.1389,True,small,100,1,117,0.433,174.7,345.0,0.195,28
small/L640/C20,20,640,660,2.45,3.21,0.0,662.45,663.21,0.1223,0.1606,True,small,100,1,133,0.4897,200.2,665.0,0.282,28
small/L0/C40,40,0,40,2.9,3.6,0.0,42.9,43.6,0.0726,0.09,True,small,100,2,102,0.3985,137.3,45.0,0.321,28
small/L20/C40,40,20,60,2.82,3.4,0.0,62.82,63.4,0.0706,0.0849,True,small,100,2,103,0.4021,142.4,65.0,0.341,28
small/L40/C40,40,40,80,2.85,3.37,0.0,82.85,83.37,0.0712,0.0843,True,small,100,2,104,0.4056,142.5,85.0,0.301,28
small/L80/C40,40,80,120,2.94,3.53,0.0,122.94,123.53,0.0735,0.0883,True,small,100,2,106,0.4128,140.5,125.0,0.316,28
small/L160/C40,40,160,200,2.92,3.43,0.0,202.92,203.43,0.0731,0.0856,True,small,100,2,110,0.427,146.1,205.0,0.3,28
small/L320/C40,40,320,360,3.16,3.84,0.0,363.16,363.84,0.0791,0.096,True,small,100,2,118,0.4554,144.0,365.0,0.486,28
small/L640/C40,40,640,680,3.04,3.8,0.0,683.04,683.8,0.076,0.0951,True,small,100,2,134,0.5124,168.5,685.0,0.351,28
small/L0/C80,80,0,80,3.28,3.65,0.0,83.28,83.65,0.0409,0.0457,True,small,100,4,104,0.4432,135.3,85.0,0.354,28
