tag,lookahead_ms,target,chunk_ms,t_algorithmic_ms,t_algorithmic_honest_ms,test_per,test_per_cross,n_test,params,steps,wall_s,hyp_file,seed
L0_native_s1337,0.0,native,40.0,40.0,45.0,0.42904222399351594,0.45823425376693117,400,24552741,1200,182.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L0_native_s1337.json,1337
L0_native_s7,0.0,native,40.0,40.0,45.0,0.4222085129380348,0.4500563899324277,400,24552741,1200,182.0,/content/drive/MyDrive/sfac_dense/hyps/hyps_L0_native_s7.json,7
L20_native_s1337,20.0,native,40.0,60.0,65.0,0.3684165481348192,0.4081944499065137,400,24552741,1200,182.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L20_native_s1337.json,1337
L20_native_s7,20.0,native,40.0,60.0,65.0,0.3716796841217189,0.41099444044358635,400,24552741,1200,181.4,/content/drive/MyDrive/sfac_dense/hyps/hyps_L20_native_s7.json,7
L40_native_s1337,40.0,native,40.0,80.0,85.0,0.33037607009285636,0.37888415657453905,400,24552741,1200,182.5,/content/drive/MyDrive/sfac_dense/hyps/hyps_L40_native_s1337.json,1337
L40_native_s7,40.0,native,40.0,80.0,85.0,0.3246194521609448,0.37797689600868156,400,24552741,1200,181.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L40_native_s7.json,7
L60_native_s1337,60.0,native,40.0,100.0,105.0,0.29511565814952934,0.3552566457985463,400,24552741,1200,183.0,/content/drive/MyDrive/sfac_dense/hyps/hyps_L60_native_s1337.json,1337
L60_native_s7,60.0,native,40.0,100.0,105.0,0.2975262175790883,0.357573161029501,400,24552741,1200,181.5,/content/drive/MyDrive/sfac_dense/hyps/hyps_L60_native_s7.json,7
L80_native_s1337,80.0,native,40.0,120.0,125.0,0.2783230427459569,0.34539390677431503,400,24552741,1200,182.7,/content/drive/MyDrive/sfac_dense/hyps/hyps_L80_native_s1337.json,1337
L80_native_s7,80.0,native,40.0,120.0,125.0,0.2725199652001142,0.3419868284119512,400,24552741,1200,181.7,/content/drive/MyDrive/sfac_dense/hyps/hyps_L80_native_s7.json,7
L100_native_s1337,100.0,native,40.0,140.0,145.0,0.2600831289723765,0.33287312140172753,400,24552741,1200,182.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L100_native_s1337.json,1337
L100_native_s7,100.0,native,40.0,140.0,145.0,0.2527070946596675,0.3265988133794729,400,24552741,1200,181.9,/content/drive/MyDrive/sfac_dense/hyps/hyps_L100_native_s7.json,7
L120_native_s1337,120.0,native,40.0,160.0,165.0,0.24445512342685596,0.31919163480703433,400,24552741,1200,182.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L120_native_s1337.json,1337
L120_native_s7,120.0,native,40.0,160.0,165.0,0.2446800034922609,0.32186604377882155,400,24552741,1200,181.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L120_native_s7.json,7
L140_native_s1337,140.0,native,40.0,180.0,185.0,0.22997922940666674,0.3083169342232527,400,24552741,1200,182.9,/content/drive/MyDrive/sfac_dense/hyps/hyps_L140_native_s1337.json,1337
L140_native_s7,140.0,native,40.0,180.0,185.0,0.2238764435183883,0.30661340730326847,400,24552741,1200,182.2,/content/drive/MyDrive/sfac_dense/hyps/hyps_L140_native_s7.json,7
L160_native_s1337,160.0,native,40.0,200.0,205.0,0.22006783769003582,0.3047561485099398,400,24552741,1200,182.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L160_native_s1337.json,1337
L160_native_s7,160.0,native,40.0,200.0,205.0,0.22105709097749693,0.3012654112090753,400,24552741,1200,181.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L160_native_s7.json,7
L180_native_s1337,180.0,native,40.0,220.0,225.0,0.20722643911694497,0.2932554024828579,400,24552741,1200,183.1,/content/drive/MyDrive/sfac_dense/hyps/hyps_L180_native_s1337.json,1337
L180_native_s7,180.0,native,40.0,220.0,225.0,0.21404793331728642,0.3004320431747047,400,24552741,1200,181.3,/content/drive/MyDrive/sfac_dense/hyps/hyps_L180_native_s7.json,7
L200_native_s1337,200.0,native,40.0,240.0,245.0,0.20805422036732815,0.2928455684174169,400,24552741,1200,182.9,/content/drive/MyDrive/sfac_dense/hyps/hyps_L200_native_s1337.json,1337
L200_native_s7,200.0,native,40.0,240.0,245.0,0.20426102978263627,0.29233673061144416,400,24552741,1200,181.7,/content/drive/MyDrive/sfac_dense/hyps/hyps_L200_native_s7.json,7
L240_native_s1337,240.0,native,40.0,280.0,285.0,0.1968890388597497,0.28295866178166756,400,24552741,1200,182.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L240_native_s1337.json,1337
L240_native_s7,240.0,native,40.0,280.0,285.0,0.197748952288594,0.2873310527614525,400,24552741,1200,181.8,/content/drive/MyDrive/sfac_dense/hyps/hyps_L240_native_s7.json,7
L280_native_s1337,280.0,native,40.0,320.0,325.0,0.18695093651225528,0.28070562918607533,400,24552741,1200,182.2,/content/drive/MyDrive/sfac_dense/hyps/hyps_L280_native_s1337.json,1337
L280_native_s7,280.0,native,40.0,320.0,325.0,0.19126582019979957,0.28335598849112253,400,24552741,1200,182.0,/content/drive/MyDrive/sfac_dense/hyps/hyps_L280_native_s7.json,7
L320_native_s1337,320.0,native,40.0,360.0,365.0,0.1811391076756114,0.27525911755031,400,24552741,1200,182.5,/content/drive/MyDrive/sfac_dense/hyps/hyps_L320_native_s1337.json,1337
L320_native_s7,320.0,native,40.0,360.0,365.0,0.18348847788937028,0.27282751869288385,400,24552741,1200,181.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L320_native_s7.json,7
L480_native_s1337,480.0,native,40.0,520.0,525.0,0.16683780472608153,0.26465759322817356,400,24552741,1200,182.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L480_native_s1337.json,1337
L480_native_s7,480.0,native,40.0,520.0,525.0,0.1629622914973266,0.25761418405823255,400,24552741,1200,181.5,/content/drive/MyDrive/sfac_dense/hyps/hyps_L480_native_s7.json,7
L640_native_s1337,640.0,native,40.0,680.0,685.0,0.15727150982706692,0.25815372862851427,400,24552741,1200,182.9,/content/drive/MyDrive/sfac_dense/hyps/hyps_L640_native_s1337.json,1337
L640_native_s7,640.0,native,40.0,680.0,685.0,0.15496970853769668,0.2516677362738061,400,24552741,1200,181.6,/content/drive/MyDrive/sfac_dense/hyps/hyps_L640_native_s7.json,7
