tag,lookahead_ms,target,chunk_ms,t_algorithmic_ms,t_algorithmic_honest_ms,test_per,test_per_cross,n_test,params,steps,wall_s,hyp_file,seed
L0_produced_s1337,0.0,produced,40.0,40.0,45.0,0.4451407768876041,0.4813170455499277,400,24552741,1200,186.7,/content/results/hyps_dense_produced/hyps_L0_produced_s1337.json,1337
L0_produced_s7,0.0,produced,40.0,40.0,45.0,0.44021140412036147,0.4809923038311552,400,24552741,1200,184.5,/content/results/hyps_dense_produced/hyps_L0_produced_s7.json,7
L20_produced_s1337,20.0,produced,40.0,60.0,65.0,0.39181200816500705,0.42851781848116594,400,24552741,1200,185.7,/content/results/hyps_dense_produced/hyps_L20_produced_s1337.json,1337
L20_produced_s7,20.0,produced,40.0,60.0,65.0,0.3874454379127363,0.42813130864013277,400,24552741,1200,184.5,/content/results/hyps_dense_produced/hyps_L20_produced_s7.json,7
L40_produced_s1337,40.0,produced,40.0,80.0,85.0,0.36387757282222594,0.400845327951552,400,24552741,1200,185.9,/content/results/hyps_dense_produced/hyps_L40_produced_s1337.json,1337
L40_produced_s7,40.0,produced,40.0,80.0,85.0,0.35605360628761046,0.39589551204275153,400,24552741,1200,184.8,/content/results/hyps_dense_produced/hyps_L40_produced_s7.json,7
L60_produced_s1337,60.0,produced,40.0,100.0,105.0,0.3430980622787436,0.38001592572055304,400,24552741,1200,186.0,/content/results/hyps_dense_produced/hyps_L60_produced_s1337.json,1337
L60_produced_s7,60.0,produced,40.0,100.0,105.0,0.34053042167422876,0.3754774425359034,400,24552741,1200,184.9,/content/results/hyps_dense_produced/hyps_L60_produced_s7.json,7
L80_produced_s1337,80.0,produced,40.0,120.0,125.0,0.3261990412797513,0.3625729497483892,400,24552741,1200,186.3,/content/results/hyps_dense_produced/hyps_L80_produced_s1337.json,1337
L80_produced_s7,80.0,produced,40.0,120.0,125.0,0.3279500716392063,0.36227206579246785,400,24552741,1200,184.9,/content/results/hyps_dense_produced/hyps_L80_produced_s7.json,7
L100_produced_s1337,100.0,produced,40.0,140.0,145.0,0.31370285386306096,0.34618036239976974,400,24552741,1200,186.2,/content/results/hyps_dense_produced/hyps_L100_produced_s1337.json,1337
L100_produced_s7,100.0,produced,40.0,140.0,145.0,0.31724722036358194,0.34865910713857823,400,24552741,1200,185.2,/content/results/hyps_dense_produced/hyps_L100_produced_s7.json,7
L120_produced_s1337,120.0,produced,40.0,160.0,165.0,0.3079633510653288,0.33589521798028527,400,24552741,1200,186.0,/content/results/hyps_dense_produced/hyps_L120_produced_s1337.json,1337
L120_produced_s7,120.0,produced,40.0,160.0,165.0,0.3090755385561989,0.3414787616074365,400,24552741,1200,184.4,/content/results/hyps_dense_produced/hyps_L120_produced_s7.json,7
L140_produced_s1337,140.0,produced,40.0,180.0,185.0,0.2959170480745669,0.32346695504818634,400,24552741,1200,185.2,/content/results/hyps_dense_produced/hyps_L140_produced_s1337.json,1337
L140_produced_s7,140.0,produced,40.0,180.0,185.0,0.30019721891347073,0.33220085793499293,400,24552741,1200,184.5,/content/results/hyps_dense_produced/hyps_L140_produced_s7.json,7
L160_produced_s1337,160.0,produced,40.0,200.0,205.0,0.2914705191662809,0.317255192550699,400,24552741,1200,185.1,/content/results/hyps_dense_produced/hyps_L160_produced_s1337.json,1337
L160_produced_s7,160.0,produced,40.0,200.0,205.0,0.2901055664535085,0.32043731298522354,400,24552741,1200,184.7,/content/results/hyps_dense_produced/hyps_L160_produced_s7.json,7
L180_produced_s1337,180.0,produced,40.0,220.0,225.0,0.28680798419857323,0.3130851652077127,400,24552741,1200,185.7,/content/results/hyps_dense_produced/hyps_L180_produced_s1337.json,1337
L180_produced_s7,180.0,produced,40.0,220.0,225.0,0.2893286036929006,0.3195219218854136,400,24552741,1200,184.3,/content/results/hyps_dense_produced/hyps_L180_produced_s7.json,7
L200_produced_s1337,200.0,produced,40.0,240.0,245.0,0.2853383457506878,0.31278494204372825,400,24552741,1200,185.5,/content/results/hyps_dense_produced/hyps_L200_produced_s1337.json,1337
L200_produced_s7,200.0,produced,40.0,240.0,245.0,0.2840898255932537,0.3142192066949548,400,24552741,1200,184.6,/content/results/hyps_dense_produced/hyps_L200_produced_s7.json,7
