tag,lookahead_ms,target,chunk_ms,t_algorithmic_ms,t_algorithmic_honest_ms,test_per,test_per_cross,n_test,params,steps,wall_s,hyp_file,seed
L0_native_s1337,0.0,native,40.0,40.0,45.0,0.4300561546977453,0.4616003320479465,400,24552741,1200,191.2,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_native_s1337.json,1337
L0_native_s7,0.0,native,40.0,40.0,45.0,0.42389877858879055,0.45446420250249486,400,24552741,1200,189.6,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_native_s7.json,7
L0_native_s99,0.0,native,40.0,40.0,45.0,0.42768790674620183,0.4614914462119109,400,24552741,1200,189.9,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_native_s99.json,99
L20_native_s1337,20.0,native,40.0,60.0,65.0,0.36450174660804235,0.4074475027318739,400,24552741,1200,190.7,/content/drive/MyDrive/sfac_results/hyps/hyps_L20_native_s1337.json,1337
L20_native_s7,20.0,native,40.0,60.0,65.0,0.37136772823824304,0.40932327701425336,400,24552741,1200,189.7,/content/drive/MyDrive/sfac_results/hyps/hyps_L20_native_s7.json,7
L20_native_s99,20.0,native,40.0,60.0,65.0,0.3699624465181833,0.4133427787230658,400,24552741,1200,190.0,/content/drive/MyDrive/sfac_results/hyps/hyps_L20_native_s99.json,99
L40_native_s1337,40.0,native,40.0,80.0,85.0,0.3230966674308418,0.3749173246969676,400,24552741,1200,189.2,/content/drive/MyDrive/sfac_results/hyps/hyps_L40_native_s1337.json,1337
L40_native_s7,40.0,native,40.0,80.0,85.0,0.32297683160531987,0.37746104473809966,400,24552741,1200,189.0,/content/drive/MyDrive/sfac_results/hyps/hyps_L40_native_s7.json,7
L40_native_s99,40.0,native,40.0,80.0,85.0,0.3335464420633157,0.38500621946844293,400,24552741,1200,188.8,/content/drive/MyDrive/sfac_results/hyps/hyps_L40_native_s99.json,99
L80_native_s1337,80.0,native,40.0,120.0,125.0,0.2747045882812937,0.34426494935317925,400,24552741,1200,190.2,/content/drive/MyDrive/sfac_results/hyps/hyps_L80_native_s1337.json,1337
L80_native_s7,80.0,native,40.0,120.0,125.0,0.2717863914601794,0.3418267706940101,400,24552741,1200,188.4,/content/drive/MyDrive/sfac_results/hyps/hyps_L80_native_s7.json,7
L80_native_s99,80.0,native,40.0,120.0,125.0,0.28205110654653337,0.3447386130513052,400,24552741,1200,189.2,/content/drive/MyDrive/sfac_results/hyps/hyps_L80_native_s99.json,99
L160_native_s1337,160.0,native,40.0,200.0,205.0,0.22065452031919397,0.3040355416146414,400,24552741,1200,189.6,/content/drive/MyDrive/sfac_results/hyps/hyps_L160_native_s1337.json,1337
L160_native_s7,160.0,native,40.0,200.0,205.0,0.21958183762516692,0.299358360932239,400,24552741,1200,188.4,/content/drive/MyDrive/sfac_results/hyps/hyps_L160_native_s7.json,7
L160_native_s99,160.0,native,40.0,200.0,205.0,0.22527013731053525,0.3053237727443369,400,24552741,1200,188.6,/content/drive/MyDrive/sfac_results/hyps/hyps_L160_native_s99.json,99
L320_native_s1337,320.0,native,40.0,360.0,365.0,0.1805111242448668,0.27455651494357325,400,24552741,1200,189.6,/content/drive/MyDrive/sfac_results/hyps/hyps_L320_native_s1337.json,1337
L320_native_s7,320.0,native,40.0,360.0,365.0,0.18407037858223263,0.2730572244033478,400,24552741,1200,189.1,/content/drive/MyDrive/sfac_results/hyps/hyps_L320_native_s7.json,7
L320_native_s99,320.0,native,40.0,360.0,365.0,0.1916071384012038,0.28173865628904143,400,24552741,1200,188.9,/content/drive/MyDrive/sfac_results/hyps/hyps_L320_native_s99.json,99
L640_native_s1337,640.0,native,40.0,680.0,685.0,0.15652271395974293,0.2561662610187344,400,24552741,1200,189.3,/content/drive/MyDrive/sfac_results/hyps/hyps_L640_native_s1337.json,1337
L640_native_s7,640.0,native,40.0,680.0,685.0,0.15590712787552768,0.25318584360003277,400,24552741,1200,188.5,/content/drive/MyDrive/sfac_results/hyps/hyps_L640_native_s7.json,7
L640_native_s99,640.0,native,40.0,680.0,685.0,0.15929663160873336,0.25810239603182694,400,24552741,1200,189.0,/content/drive/MyDrive/sfac_results/hyps/hyps_L640_native_s99.json,99
L0_produced_s1337,0.0,produced,40.0,40.0,45.0,0.44634413278244367,0.4822099561619083,400,24552741,1200,189.2,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_produced_s1337.json,1337
L0_produced_s7,0.0,produced,40.0,40.0,45.0,0.4368887588053723,0.4742644762777893,400,24552741,1200,187.9,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_produced_s7.json,7
L0_produced_s99,0.0,produced,40.0,40.0,45.0,0.4436273095894487,0.48283886629680167,400,24552741,1200,188.9,/content/drive/MyDrive/sfac_results/hyps/hyps_L0_produced_s99.json,99
L20_produced_s1337,20.0,produced,40.0,60.0,65.0,0.3918636524326857,0.42823581248695475,400,24552741,1200,189.5,/content/drive/MyDrive/sfac_results/hyps/hyps_L20_produced_s1337.json,1337
